"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"-1.487.498,84";"297.375.071,71";"361.810.464,78";"1.275.029,46";
"07/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"-1.112.080,41";"972.317,56";"1.268.404,45";"1.270.680,16";
"07/2019";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"-3.949.604,43";"41.221.889,27";"47.599.331,67";"1.059.572,49";
"07/2019";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.122.366,59";"435.946.974,82";"439.008.444,49";"555.974,55";
"07/2019";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"14.742.776,37";"300.505.614,21";"307.292.713,89";"1.046.121,14";
"07/2019";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"2.949.807,09";"24.003.410,37";"26.982.551,44";"71.733,62";
"07/2019";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"-40.727,51";"11.414.199,68";"13.312.740,19";"1.192.360,49";
"07/2019";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"32.442.562,35";"39.207.126,81";"43.383.591,22";"1.609.198,44";
"07/2019";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"71.790.910,67";"58.899.201,75";"72.148.794,16";"496.567,32";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"11.778.282,53";"31.220.496,01";"33.883.087,75";"1.897.113,70";
"07/2019";"55000 - Ministério da Cidadania";"20203 - Agência Nacional do Cinema";"1.513.392,20";"10.037.415,30";"11.898.342,80";"100.654.719,97";
"07/2019";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"9.673.161,48";"34.455.790,30";"38.319.281,20";"4.912.272,88";
"07/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"10.786.623,82";"40.258.962,20";"46.404.032,10";"4.819.916,86";
"07/2019";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"449.863,48";"25.805.156,90";"34.438.076,16";"354.443,57";
"07/2019";"25000 - Ministério da Economia";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"294.047.858,63";"309.380.400,13";"411.595.044,50";"0,00";
"07/2019";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"177.660,41";"30.020.159,23";"30.020.159,23";"305.779,69";
"07/2019";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"106.231,62";"214.495,62";"257.227,92";"0,00";
"07/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"2.796.717,05";"31.461.966,19";"38.997.596,03";"869.505,44";
"07/2019";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"3.543.100,39";"35.589.646,30";"42.041.474,74";"1.063.427,11";
"07/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"-1.330.614,32";"4.951.898,83";"5.872.742,54";"220.915,14";
"07/2019";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"67.682.727,59";"50.822.997,77";"67.003.473,51";"1.113.317,46";
"07/2019";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"1.712.587.589,37";"1.905.068.487,96";"2.499.206.173,47";"111.000.056,93";
"07/2019";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"116.636.056,13";"2.027.652.846,87";"2.689.264.025,97";"53.357.746,88";
"07/2019";"52000 - Ministério da Defesa";"52132 - Comando da Marinha - Fundo Naval";"3,76";"0,00";"0,00";"167.935,38";
"07/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"1.729.835.121,27";"3.503.608.427,35";"4.864.663.471,56";"195.203.427,56";
"07/2019";"25000 - Ministério da Economia";"25203 - Comissão de Valores Mobiliários";"727.643,24";"19.559.307,07";"24.328.868,38";"539.510,48";
"07/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20301 - Comissão Nacional de Energia Nuclear";"2.367.249,44";"77.405.398,99";"89.729.649,44";"748.437,55";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"29214 - Companhia Brasileira de Trens Urbanos";"70.762.613,87";"85.605.003,17";"86.705.046,62";"3.456.213,83";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"70.899.523,92";"69.054.981,73";"49.793.698,03";"61.712.260,03";
"07/2019";"32000 - Ministério de Minas e Energia";"29208 - Companhia de Pesquisa de Recursos Minerais";"48.232.537,79";"41.028.769,62";"39.013.311,20";"1.476.473,30";
"07/2019";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22211 - Companhia Nacional de Abastecimento";"31.294.546,95";"108.572.175,10";"119.553.918,99";"2.706.898,70";
"07/2019";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"4.568.739,51";"3.665.107,59";"3.931.888,34";"85.699,41";
"07/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"8.196.301,83";"117.660.293,58";"121.183.778,10";"10.180.421,67";
"07/2019";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"4.229.645,63";"81.137.860,90";"99.860.365,74";"2.135.482,83";
"07/2019";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Departamento de Polícia Federal";"319.326.810,13";"556.060.088,99";"688.921.530,16";"22.574.990,30";
"07/2019";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"79.309.094,47";"355.239.705,60";"445.456.375,25";"20.589.349,85";
"07/2019";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"35.873.146,40";"28.621.845,85";"15.552.483,48";"0,00";
"07/2019";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"315.308.832,47";"655.287.379,85";"624.884.288,30";"159.076.612,24";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"82.814.701,92";"58.869.210,96";"80.732.489,61";"65.737.514,10";
"07/2019";"32000 - Ministério de Minas e Energia";"32263 - Departamento Nacional de Produção Mineral";"1.241,70";"1.587,73";"1.572,52";"390.154,28";
"07/2019";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"9.013.504,97";"37.833.850,63";"38.742.702,05";"825.706,99";
"07/2019";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"93.192.178,55";"285.500.830,50";"359.654.391,92";"5.391.944,97";
"07/2019";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"87.046.504,53";"444.744.547,44";"559.249.121,49";"15.195.035,83";
"07/2019";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"255.498,39";"7.699.020,37";"8.783.175,31";"7.714,92";
"07/2019";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"-112.800,57";"3.785.604,21";"4.642.513,72";"361.412,73";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"32.012.272,78";"29.766.569,19";"28.529.331,37";"2.113.032,41";
"07/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"4.895,24";"4.895,24";"4.895,24";"0,00";
"07/2019";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"1.499.414,22";"1.020.542,17";"1.197.723,39";"0,00";
"07/2019";"55000 - Ministério da Cidadania";"20404 - Fundação Biblioteca Nacional";"-2.587.275,61";"8.360.641,37";"10.128.947,05";"241.251,50";
"07/2019";"55000 - Ministério da Cidadania";"20403 - Fundação Casa de Rui Barbosa";"297.104,92";"3.597.746,53";"4.461.540,81";"89.925,76";
"07/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"598.286.080,00";"334.905.484,09";"343.406.434,51";"22.960.965,83";
"07/2019";"55000 - Ministério da Cidadania";"20408 - Fundação Cultural Palmares";"255.187,40";"1.407.836,18";"1.582.951,04";"480.974,72";
"07/2019";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"20.620.812,33";"7.074.993,38";"8.298.130,55";"496.239,58";
"07/2019";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"21.684.848,44";"191.110.766,38";"251.724.195,44";"6.225.504,25";
"07/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"1.935.681,03";"10.224.570,75";"12.463.477,16";"8.560,78";
"07/2019";"25000 - Ministério da Economia";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"1.041.299,46";"8.128.812,46";"10.222.223,62";"42.730,80";
"07/2019";"55000 - Ministério da Cidadania";"20412 - Fundação Nacional de Artes";"2.784.404,61";"7.651.361,70";"9.183.580,49";"1.554.566,74";
"07/2019";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde ";"35.884.560,37";"169.553.017,16";"229.149.104,73";"17.892.674,81";
"07/2019";"81000 - Ministério da Mulher, Família e Direitos Humanos";"30202 - Fundação Nacional do Índio";"8.451.464,97";"41.561.627,00";"49.415.384,78";"6.903.361,19";
"07/2019";"81000 - Ministério da Mulher, Família e Direitos Humanos";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"472.477,57";"294.566,66";"282.659,46";"97.292,77";
"07/2019";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"450.257.830,29";"447.386.287,12";"386.781.438,28";"55.974.444,77";
"07/2019";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"156.699,70";"1.638.016,82";"2.080.282,23";"0,00";
"07/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"16.608.211,59";"148.078.270,32";"191.489.638,34";"14.801.599,41";
"07/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"18.997.882,96";"65.912.127,02";"79.674.325,41";"2.151.174,00";
"07/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"58.816.777,07";"71.140.594,71";"89.094.073,87";"1.747.189,62";
"07/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"5.370.437,45";"25.182.864,39";"30.526.928,43";"7.565.656,44";
"07/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"3.509.623,64";"11.530.839,93";"14.353.655,50";"1.555.744,48";
"07/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"221.867.423,30";"66.319.690,79";"81.777.456,40";"918.047,51";
"07/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"16.047.219,57";"22.327.172,28";"28.740.445,97";"968.755,20";
"07/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"21.803.114,74";"59.665.431,28";"70.706.450,49";"2.396.646,62";
"07/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"48.008.667,74";"48.740.897,04";"63.005.841,06";"430.898,74";
"07/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"3.390.904,19";"24.661.328,71";"30.997.122,14";"2.811.046,13";
"07/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"18.169.828,73";"124.578.607,61";"153.238.632,28";"1.450.000,75";
"07/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"26.594.800,41";"22.469.377,24";"27.428.341,93";"974.253,16";
"07/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"2.261.436,01";"27.256.568,80";"33.455.653,97";"2.877.526,00";
"07/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"1.939.494,93";"14.710.608,11";"18.773.965,18";"14.682.117,15";
"07/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"72.331.486,11";"81.494.120,45";"97.187.731,67";"402.700,08";
"07/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"12.586.981,42";"68.284.436,57";"85.353.013,90";"1.957.674,26";
"07/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"4.163.692,10";"25.412.783,90";"31.200.993,86";"1.345.077,35";
"07/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"55.326.326,44";"65.875.303,31";"78.664.673,32";"2.593.555,57";
"07/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"6.297.687,59";"28.625.334,06";"35.117.310,59";"2.614.317,46";
"07/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"4.649.772,08";"14.266.741,26";"17.822.415,94";"1.003.424,76";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"53902 - Fundo Constitucional de Financiamento do Centro-Oeste";"0,00";"237.982.365,52";"237.982.365,52";"0,00";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"53903 - Fundo Constitucional de Financiamento do Nordeste";"0,00";"523.189.242,85";"523.189.242,85";"0,00";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"53901 - Fundo Constitucional de Financiamento do Norte";"0,00";"237.982.364,52";"237.982.364,52";"0,00";
"07/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"1.175.236.481,82";"1.125.841.733,96";"1.270.643.265,32";"2.244.715,06";
"07/2019";"25000 - Ministério da Economia";"38901 - Fundo de Amparo ao Trabalhador";"3.772.313.800,50";"6.507.070.793,41";"6.516.751.697,14";"14.875.552,89";
"07/2019";"25000 - Ministério da Economia";"25901 - Fundo de Compensação de Variações Salariais ";"0,00";"52.072.439,15";"0,00";"0,00";
"07/2019";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22905 - Fundo de Defesa da Economia Cafeeira";"3.074.001.091,05";"3.662.772,52";"3.789.417,60";"254.391,11";
"07/2019";"53000 - Ministério do Desenvolvimento Regional";"74919 - Fundo de Desenvolvimento do Centro-Oeste";"0,00";"0,00";"0,00";"11.770.800,00";
"07/2019";"52000 - Ministério da Defesa";"52133 - Fundo de Desenvolvimento do Ensino Profissional Marítimo";"0,00";"0,00";"0,00";"5.454,54";
"07/2019";"25000 - Ministério da Economia";"25904 - Fundo de Estabilidade do Seguro Rural";"0,00";"418.427,41";"416.171,99";"0,00";
"07/2019";"25000 - Ministério da Economia";"25914 - Fundo de Garantia à Exportação";"10.029.722,78";"13.868.038,23";"13.868.038,23";"28.158.221,16";
"07/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.104.421,21";"5.692.732,34";"5.807.330,66";"121.973,05";
"07/2019";"52000 - Ministério da Defesa";"52904 - Fundo do Exército";"192.819.918,05";"197.612.754,65";"183.276.049,34";"9.736.377,41";
"07/2019";"33000 - Ministério da Previdência Social";"37904 - Fundo do Regime Geral da Previdência Social";"183.832.906,30";"47.351.916.794,49";"47.215.454.674,88";"315.095,14";
