"﻿"Mês Ano"";Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos;Valor Saldo
07/2019;63000 - Advocacia-Geral da União                                   ;63000 - Advocacia-Geral da União - Unidades com vínculo direto               ;-1.487.498,8;297.375.071,7;361.810.464,8;1.275.029,5;-298.862.570,5
07/2019;24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações;20402 - Agência Espacial Brasileira                                          ;-1.112.080,4;972.317,6;1.268.404,4;1.270.680,2;-2.084.398
07/2019;39000 - Ministério da Infraestrutura                               ;62201 - Agência Nacional de Aviação Civil                                    ;-3.949.604,4;41.221.889,3;47.599.331,7;1.059.572,5;-45.171.493,7
07/2019;32000 - Ministério de Minas e Energia                              ;32210 - Agência Nacional de Energia Elétrica                                 ;2.122.366,6;435.946.974,8;439.008.444,5;555.974,6;-433.824.608,2
07/2019;32000 - Ministério de Minas e Energia                              ;32396 - Agência Nacional de Mineração                                        ;14.742.776,4;300.505.614,2;307.292.713,9;1.046.121,1;-285.762.837,8
07/2019;36000 - Ministério da Saúde                                        ;36213 - Agência Nacional de Saúde Suplementar                                ;2.949.807,1;24.003.410,4;26.982.551,4;71.733,6;-21.053.603,3
07/2019;39000 - Ministério da Infraestrutura                               ;68201 - Agência Nacional de Transportes Aquaviários                          ;-40.727,5;11.414.199,7;13.312.740,2;1.192.360,5;-11.454.927,2
07/2019;39000 - Ministério da Infraestrutura                               ;39250 - Agência Nacional de Transportes Terrestres                           ;32.442.562,4;39.207.126,8;43.383.591,2;1.609.198,4;-6.764.564,5
07/2019;36000 - Ministério da Saúde                                        ;36212 - Agência Nacional de Vigilância Sanitária                             ;71.790.910,7;58.899.201,8;72.148.794,2;496.567,3;12.891.708,9
07/2019;53000 - Ministério do Desenvolvimento Regional                     ;44205 - Agência Nacional de Águas                                            ;11.778.282,5;31.220.496;33.883.087,8;1.897.113,7;-19.442.213,5
07/2019;55000 - Ministério da Cidadania                                    ;20203 - Agência Nacional do Cinema                                           ;1.513.392,2;10.037.415,3;11.898.342,8;100.654.720;-8.524.023,1
07/2019;32000 - Ministério de Minas e Energia                              ;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis          ;9.673.161,5;34.455.790,3;38.319.281,2;4.912.272,9;-24.782.628,8
07/2019;24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações;41231 - Agêncial Nacional de Telecomunicações                                ;10.786.623,8;40.258.962,2;46.404.032,1;4.819.916,9;-29.472.338,4
07/2019;52000 - Ministério da Defesa                                       ;52233 - Amazônia Azul Tecnologia de Defesa S.A.                              ;449.863,5;25.805.156,9;34.438.076,2;354.443,6;-25.355.293,4
07/2019;25000 - Ministério da Economia                                     ;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social       ;294.047.858,6;309.380.400,1;411.595.044,5;0;-15.332.541,5
07/2019;52000 - Ministério da Defesa                                       ;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil    ;177.660,4;30.020.159,2;30.020.159,2;305.779,7;-29.842.498,8
07/2019;52000 - Ministério da Defesa                                       ;52211 - Caixa de Financiamento Imobiliário da Aeronáutica                    ;106.231,6;214.495,6;257.227,9;0;-108.264
07/2019;26000 - Ministério da Educação                                     ;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca       ;2.796.717;31.461.966,2;38.997.596;869.505,4;-28.665.249,1
07/2019;26000 - Ministério da Educação                                     ;26257 - Centro Federal de Educação Tecnológica de Minas Gerais               ;3.543.100,4;35.589.646,3;42.041.474,7;1.063.427,1;-32.046.545,9
07/2019;24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.               ;-1.330.614,3;4.951.898,8;5.872.742,5;220.915,1;-6.282.513,2
07/2019;26000 - Ministério da Educação                                     ;26201 - Colégio Pedro II                                                     ;67.682.727,6;50.822.997,8;67.003.473,5;1.113.317,5;16.859.729,8
07/2019;52000 - Ministério da Defesa                                       ;52111 - Comando da Aeronáutica                                               ;1.712.587.589,4;1.905.068.488;2.499.206.173,5;111.000.056,9;-192.480.898,6
07/2019;52000 - Ministério da Defesa                                       ;52131 - Comando da Marinha                                                   ;116.636.056,1;2.027.652.846,9;2.689.264.026;53.357.746,9;-1.911.016.790,7
07/2019;52000 - Ministério da Defesa                                       ;52132 - Comando da Marinha - Fundo Naval                                     ;3,8;0;0;167.935,4;3,8
07/2019;52000 - Ministério da Defesa                                       ;52121 - Comando do Exército                                                  ;1.729.835.121,3;3.503.608.427,3;4.864.663.471,6;195.203.427,6;-1.773.773.306,1
07/2019;25000 - Ministério da Economia                                     ;25203 - Comissão de Valores Mobiliários                                      ;727.643,2;19.559.307,1;24.328.868,4;539.510,5;-18.831.663,8
07/2019;24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações;20301 - Comissão Nacional de Energia Nuclear                                 ;2.367.249,4;77.405.399;89.729.649,4;748.437,6;-75.038.149,5
07/2019;53000 - Ministério do Desenvolvimento Regional                     ;29214 - Companhia Brasileira de Trens Urbanos                                ;70.762.613,9;85.605.003,2;86.705.046,6;3.456.213,8;-14.842.389,3
07/2019;53000 - Ministério do Desenvolvimento Regional                     ;22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;70.899.523,9;69.054.981,7;49.793.698;61.712.260;1.844.542,2
07/2019;32000 - Ministério de Minas e Energia                              ;29208 - Companhia de Pesquisa de Recursos Minerais                           ;48.232.537,8;41.028.769,6;39.013.311,2;1.476.473,3;7.203.768,2
07/2019;22000 - Ministério da Agricultura, Pecuária e Abastecimento        ;22211 - Companhia Nacional de Abastecimento                                  ;31.294.546,9;108.572.175,1;119.553.919;2.706.898,7;-77.277.628,1
07/2019;30000 - Ministério da Justiça e Segurança Pública                  ;30211 - Conselho Administrativo de Defesa Econômica                          ;4.568.739,5;3.665.107,6;3.931.888,3;85.699,4;903.631,9
07/2019;24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações;20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico        ;8.196.301,8;117.660.293,6;121.183.778,1;10.180.421,7;-109.463.991,8
07/2019;37000 - Controladoria-Geral da União                               ;37000 - Controladoria-Geral da União - Unidades com vínculo direto           ;4.229.645,6;81.137.860,9;99.860.365,7;2.135.482,8;-76.908.215,3
07/2019;30000 - Ministério da Justiça e Segurança Pública                  ;30108 - Departamento de Polícia Federal                                      ;319.326.810,1;556.060.089;688.921.530,2;22.574.990,3;-236.733.278,9
07/2019;30000 - Ministério da Justiça e Segurança Pública                  ;30802 - Departamento de Polícia Rodoviária Federal                           ;79.309.094,5;355.239.705,6;445.456.375,2;20.589.349,9;-275.930.611,1
07/2019;39000 - Ministério da Infraestrutura                               ;49901 - Departamento do Fundo da Marinha Mercante                            ;35.873.146,4;28.621.845,9;15.552.483,5;0;7.251.300,5
07/2019;39000 - Ministério da Infraestrutura                               ;39252 - Departamento Nacional de Infraestrutura de Transportes               ;315.308.832,5;655.287.379,9;624.884.288,3;159.076.612,2;-339.978.547,4
